         3705887 function calls (3631411 primitive calls) in 20.624 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      631    0.003    0.000    0.096    0.000 axis.py:495(_get_text1_transform)
     4487    0.018    0.000    0.094    0.000 colors.py:128(to_rgba)
      631    0.008    0.000    0.094    0.000 _base.py:820(get_yaxis_text2_transform)
       10    0.000    0.000    0.094    0.009 mathtext.py:2507(parse)
      269    0.002    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      631    0.010    0.000    0.093    0.000 _base.py:793(get_yaxis_text1_transform)
      610    0.008    0.000    0.093    0.000 _base.py:741(get_xaxis_text2_transform)
        1    0.000    0.000    0.090    0.090 _subplots.py:1(<module>)
       20    0.001    0.000    0.090    0.005 axis.py:2354(get_tick_space)
      269    0.090    0.000    0.090    0.000 {built-in method marshal.loads}
     8587    0.031    0.000    0.087    0.000 artist.py:634(set_figure)
       42    0.001    0.000    0.087    0.002 pyparsing.py:1964(__init__)
      672    0.086    0.000    0.086    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      672    0.010    0.000    0.085    0.000 backend_agg.py:269(_get_agg_font)
     3783    0.026    0.000    0.085    0.000 artist.py:856(_update_property)
     1142    0.005    0.000    0.084    0.000 font_manager.py:1000(get)
    16174    0.046    0.000    0.083    0.000 cbook.py:678(iterable)
        1    0.000    0.000    0.081    0.081 pyplot.py:428(figure)
        1    0.000    0.000    0.081    0.081 backend_qt5agg.py:36(new_figure_manager)
      980    0.020    0.000    0.080    0.000 ticker.py:1695(_staircase)
    25363    0.049    0.000    0.080    0.000 six.py:580(iteritems)
     6806    0.021    0.000    0.079    0.000 artist.py:341(set_transform)
     6205    0.014    0.000    0.078    0.000 axis.py:291(_set_artist_props)
      160    0.002    0.000    0.077    0.000 backend_agg.py:143(draw_path)
204619/204277    0.076    0.000    0.077    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.075    0.075 backend_qt5agg.py:47(new_figure_manager_given_figure)
      160    0.068    0.000    0.075    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.000    0.000    0.074    0.074 text.py:3(<module>)
     1600    0.010    0.000    0.073    0.000 transforms.py:1957(translate)
        1    0.000    0.000    0.073    0.073 _axes.py:1(<module>)
       10    0.000    0.000    0.073    0.007 mathtext.py:2586(math_string)
      114    0.001    0.000    0.072    0.001 sre_compile.py:542(_code)
     1062    0.007    0.000    0.070    0.000 transforms.py:838(from_extents)
        1    0.000    0.000    0.066    0.066 __init__.py:7(<module>)
